route_id,scenario,canonical_condition,primary_team,secondary_team,approval_gate,decision_when_complete,decision_when_missing_or_unverified,decision_when_high_risk,notes
ROUTE-001,Non-production database read access,"service=DATABASE AND environment IN {sandbox,development,staging} AND permission IN {read,read-only}",DBA/Data,,AUTHZ-001,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires named system/resource scope, duration, reason, and verified Data/DBA authority."
ROUTE-002,Production database or data export,"service=DATABASE AND (environment=production OR requested_action IN {export,dump,copy_data})",DBA/Data,Reviewer,AUTHZ-002,ESCALATE,ESCALATE,ESCALATE,"Direct production data access or export is never an auto path."
ROUTE-003,Safe non-production GPU provision,"service=CLOUD_GPU AND environment IN {sandbox,development} AND quota_or_budget_status=verified AND privileged=false",Cloud/ML Infra,,AUTHZ-003,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires provider, GPU type, quantity, duration, purpose, verified quota/budget, and verified approval."
ROUTE-004,Production or elevated GPU/cloud request,"service=CLOUD_GPU AND (environment=production OR quota_change=true OR cloud_admin=true)",Cloud/ML Infra,Reviewer,AUTHZ-004,ESCALATE,ESCALATE,ESCALATE,"Production, quota increase, or cloud-admin requests require reviewer."
ROUTE-005,Device boot diagnostic,"service=DEVICE_BOOT AND requested_action IN {boot_assistance,diagnosis,hardware_check} AND destructive_action=false",IT Helpdesk,,AUTHZ-005,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Device wipe, firmware change, replacement, or conflicting evidence leaves the auto path."
ROUTE-006,Network or VPN diagnostic,"service=NETWORK_VPN AND requested_action=diagnose AND control_change=false AND public_exposure=false",Network,,AUTHZ-006,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires target, symptom, source and environment; port is required only when applicable."
ROUTE-007,Network control change,"service=NETWORK_VPN AND (control_change=true OR public_exposure=true OR firewall_change=true)",Security,Network,AUTHZ-007,ESCALATE,ESCALATE,ESCALATE,"Security owns risk decisions for inbound exposure, firewall, DNS/proxy changes and bypasses."
ROUTE-008,Standard account access,"service=ACCOUNT_ACCESS AND environment!=production AND access_type IN {read,standard,non_privileged}",IAM/IT,,AUTHZ-008,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires verified system-owner approval that matches target system, access type and duration."
ROUTE-009,Privileged or production account access,"service=ACCOUNT_ACCESS AND (environment=production OR access_type IN {admin,root,owner,cluster-admin})",IAM/IT,Reviewer,AUTHZ-009,ESCALATE,ESCALATE,ESCALATE,"Ask for a least-privilege alternative; never auto approve."
ROUTE-010,Standard Git permission,"service=GIT_PERMISSION AND permission IN {read,triage,write} AND production_repository=false",DevOps,,AUTHZ-010,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires verified repository-owner approval and a bounded duration."
ROUTE-011,Privileged Git or production repository,"service=GIT_PERMISSION AND (permission IN {maintain,admin} OR production_repository=true)",DevOps,Reviewer,AUTHZ-011,ESCALATE,ESCALATE,ESCALATE,"Repository admin/maintain or production deployment scope requires reviewer."
ROUTE-012,Non-production CI/CD diagnostic or rerun,"service=CI_CD AND environment IN {sandbox,development,staging} AND requested_action IN {view_logs,rerun,diagnose} AND control_change=false",DevOps,,not_required_for_diagnostic,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Credential, deployment, approval-gate, or config changes are not diagnostic-only."
ROUTE-013,Production or control-changing CI/CD and Kubernetes,"service IN {CI_CD,KUBERNETES} AND (environment=production OR privileged=true OR requested_action IN {deploy,manifest_change,permission_change,disable_gate})",Platform,DevOps,AUTHZ-011,ESCALATE,ESCALATE,ESCALATE,"Reviewer confirms scope, rollback and authorized approval."
ROUTE-014,Non-production Kubernetes observation or bounded restart,"service=KUBERNETES AND environment IN {sandbox,development,staging} AND requested_action IN {view_logs,restart,scale} AND privileged=false",Platform,DevOps,AUTHZ-015,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Deployment, manifest change, destructive action and privileged exec are not auto paths."
ROUTE-015,Security request or security-control change,"service=SECURITY",Security,Reviewer,AUTHZ-014,ESCALATE,ESCALATE,ESCALATE,"Security cases always go to the security/reviewer flow."
ROUTE-016,Monitoring diagnostic,"service=MONITORING AND requested_action IN {investigate,view_logs,view_metrics} AND control_change=false",SRE,,AUTHZ-012,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Production threshold, alert, routing, retention, or logging control changes require reviewer."
ROUTE-017,Monitoring control change,"service=MONITORING AND control_change=true",SRE,Reviewer,depends_on_requested_action,ESCALATE,ESCALATE,ESCALATE,"Do not auto approve threshold, notification or retention changes."
ROUTE-018,Software or license request,"service=SOFTWARE_LICENSE AND catalog_item=true",IT,,AUTHZ-013,AUTO_APPROVE,NEEDS_INFORMATION,ESCALATE,"Requires verified license/budget owner for paid or capacity-bound requests."
ROUTE-019,Unclassified request,"service=OTHER OR service=unknown",Classifier/reviewer,,not_applicable,ESCALATE,ESCALATE,ESCALATE,"Do not guess an owner. Preserve safe evidence and ask targeted questions."
