authority_rule_id,service,scope,requested_action_or_permission,approval_required,authorized_approver_role,verification_required,scope_must_match,auto_approve_eligible,notes
AUTHZ-001,DATABASE,"sandbox|development|staging",read-only,true,service_owner_or_dba_delegate,true,true,true,"Approval must cover the named system, scope, permission, and duration. A manager may state business need but cannot replace this authority."
AUTHZ-002,DATABASE,production,"any direct access|export|write|admin|root",true,data_owner_and_reviewer,true,true,false,"Never auto-approve direct production data access or export."
AUTHZ-003,CLOUD_GPU,"sandbox|development",provision_within_existing_quota,true,quota_or_budget_owner,true,true,true,"The verified approval must cover GPU type, quantity, duration, provider, and purpose."
AUTHZ-004,CLOUD_GPU,"production|quota_increase|cloud_admin",provision_or_permission_change,true,cloud_ml_owner_and_reviewer,true,true,false,"Quota increase, production workloads, and cloud-admin requests require escalation."
AUTHZ-005,DEVICE_BOOT,standard_diagnosis_or_boot_assistance,false,not_applicable,false,false,true,"Auto approval only creates or routes a standard support task; it does not authorize device wipe, firmware change, or replacement."
AUTHZ-006,NETWORK_VPN,diagnostic_only,false,not_applicable,false,false,true,"No network-control change, public exposure, or firewall bypass is allowed on the auto path."
AUTHZ-007,NETWORK_VPN,"firewall|public_inbound|dns_change|proxy_change",change_control,true,network_owner_and_security_reviewer,true,true,false,"A verbal or textual claim of approval is insufficient."
AUTHZ-008,ACCOUNT_ACCESS,"nonproduction|standard_permission",grant_or_extend_access,true,system_owner,true,true,true,"Manager approval alone is not a verified system-owner approval."
AUTHZ-009,ACCOUNT_ACCESS,"production|admin|root|owner",grant_or_extend_access,true,system_owner_and_reviewer,true,true,false,"Use a least-privilege alternative whenever possible."
AUTHZ-010,GIT_PERMISSION,standard_read_or_write,grant_or_extend_access,true,repository_owner,true,true,true,"Repository owner must verify repository, permission, and duration."
AUTHZ-011,"CI_CD|KUBERNETES","production|privileged|deploy|bypass_gate",change_or_deploy,true,platform_or_release_owner_and_reviewer,true,true,false,"Production, privileged, or approval-gate changes always escalate."
AUTHZ-012,MONITORING,read_or_investigate,false,not_applicable,false,false,true,"Changing production thresholds, alerts, or notification destinations is not a diagnostic-only request."
AUTHZ-013,SOFTWARE_LICENSE,license_or_budget_commitment,true,license_or_budget_owner,true,true,true,"Auto approval is limited to an approved catalog item and a verified available license or budget."
AUTHZ-014,SECURITY,any_security_control_change,true,security_or_incident_authority,true,true,false,"Security cases require a reviewer even when an approval reference exists."
AUTHZ-015,KUBERNETES,"sandbox|development|staging",view_logs_or_bounded_restart_or_scale,false,not_applicable,false,false,true,"Only non-privileged observation, bounded restart, or scale within an existing non-production scope may use the routine path."
